Date,Hole,Fairways,GIR,U&D,Sand Save,Putts,Score
8/6/2024,1,0,0,-,0,2,5
8/6/2024,2,0,0,-,-,2,6
8/6/2024,3,-,0,-,0,3,5
8/6/2024,4,1,1,-,-,2,5
8/6/2024,5,1,1,-,-,2,4
8/6/2024,6,0,0,0,1,1,5
8/6/2024,7,1,1,-,-,2,4
8/6/2024,8,-,0,-,0,3,5
8/6/2024,9,1,1,-,-,2,4
8/6/2024,10,0,1,-,-,2,4
8/6/2024,11,1,1,-,-,1,3
8/6/2024,12,1,1,-,-,2,4
8/6/2024,13,-,1,-,-,1,2
8/6/2024,14,1,1,-,-,2,5
8/6/2024,15,0,0,0,-,2,7
8/6/2024,16,0,0,0,-,2,5
8/6/2024,17,-,1,-,-,2,3
8/6/2024,18,1,0,0,-,2,6
,,,,,,,
15/6/2024,1,0,0,0,-,2,5
15/6/2024,2,0,1,-,-,1,3
15/6/2024,3,-,1,-,-,2,3
15/6/2024,4,0,0,0,-,2,9
15/6/2024,5,1,1,-,-,1,3
15/6/2024,6,0,0,0,-,2,6
15/6/2024,7,1,1,-,-,2,4
15/6/2024,8,-,1,-,-,1,3
15/6/2024,9,1,1,-,-,2,4
15/6/2024,10,1,1,-,-,1,3
15/6/2024,11,0,0,0,-,2,5
15/6/2024,12,0,0,-,0,1,5
15/6/2024,13,-,0,-,0,2,4
15/6/2024,14,1,1,-,-,2,5
15/6/2024,15,1,0,1,0,1,4
15/6/2024,16,1,0,-,0,2,5
15/6/2024,17,-,0,0,-,2,4
15/6/2024,18,1,1,1,0,1,4
,,,,,,,
17/6/2024,1,0,0,0,-,1,7
17/6/2024,2,0,1,-,-,2,4
17/6/2024,3,-,1,-,-,1,2
17/6/2024,4,0,0,0,-,2,6
17/6/2024,5,1,1,-,-,2,4
17/6/2024,6,0,1,-,-,2,5
17/6/2024,7,1,0,0,-,3,6
17/6/2024,8,-,0,0,-,2,4
17/6/2024,9,1,1,-,-,2,4
17/6/2024,10,1,0,0,-,1,5
17/6/2024,11,1,0,1,-,1,4
17/6/2024,12,0,0,-,0,1,5
17/6/2024,13,-,1,-,-,2,3
17/6/2024,14,1,0,1,-,1,5
17/6/2024,15,1,1,-,-,2,4
17/6/2024,16,1,0,0,-,2,6
17/6/2024,17,-,0,0,-,1,4
17/6/2024,18,1,1,-,-,2,5
,,,,,,,
29/6/2024,1,1,1,-,-,2,4
29/6/2024,2,1,1,-,-,2,4
29/6/2024,3,-,1,-,-,2,3
29/6/2024,4,1,1,-,-,2,5
29/6/2024,5,0,0,0,-,3,8
29/6/2024,6,1,1,-,-,1,4
29/6/2024,7,0,0,-,-,2,5
29/6/2024,8,1,1,-,-,2,4
29/6/2024,9,1,1,-,-,2,4
29/6/2024,10,1,1,-,-,1,3
29/6/2024,11,1,1,-,-,2,4
29/6/2024,12,0,0,0,-,2,6
29/6/2024,13,-,1,-,-,2,3
29/6/2024,14,1,0,0,-,2,6
29/6/2024,15,1,0,-,0,2,5
29/6/2024,16,-,-,0,-,2,5
29/6/2024,17,-,1,-,-,3,4
29/6/2024,18,0,1,-,-,2,5